Location,Year,Number,Population,Rate
Alfred,2015,1,"3,062",32.7
Alfred,2016,1,"3,081",32.5
Boothbay,2011,1,"3,077",32.5
Waterville,2013,5,"15,541",32.2
Brewer,2014,3,"9,349",32.1
Livermore Falls,2015,1,"3,118",32.1
Oakland,2010,2,"6,240",32.1
Augusta,2010,6,"19,136",31.4
Newport,2015,1,"3,186",31.4
Newport,2016,1,"3,184",31.4
Newport,2018,1,"3,184",31.4
Lebanon,2016,2,"6,414",31.2
Boothbay,2008,1,"3,214",31.1
Mechanic Falls,2008,1,"3,227",31.0
Newport,2011,1,"3,235",30.9
Norridgewock,2008,1,"3,237",30.9
Newport,2014,1,"3,244",30.8
Bangor,2018,10,"32,559",30.7
Lewiston,2016,11,"36,425",30.2
Livermore Falls,2008,1,"3,315",30.2
Portland,2010,20,"66,194",30.2
Lewiston,2009,11,"36,550",30.1
Belfast,2010,2,"6,668",30.0
Norridgewock,2014,1,"3,333",30.0
Norridgewock,2016,1,"3,351",29.8
Norridgewock,2013,1,"3,366",29.7
Fryeburg,2018,1,"3,440",29.1
Fryeburg,2010,1,"3,449",29.0
Orono,2015,3,"10,363",28.9
Clinton,2012,1,"3,489",28.7
Portland,2008,18,"63,061",28.5
Bangor,2015,9,"32,639",27.6
Hampden,2012,2,"7,270",27.5
Hampden,2013,2,"7,276",27.5
Litchfield,2011,1,"3,648",27.4
Naples,2008,1,"3,649",27.4
Biddeford,2016,6,"22,105",27.1
Orrington,2012,1,"3,685",27.1
Dexter,2008,1,"3,705",27.0
Farmington,2018,2,"7,415",27.0
Wiscasset,2013,1,"3,730",26.8
Winterport,2012,1,"3,759",26.6
Scarborough,2010,5,"18,919",26.4
Old Town,2016,2,"7,608",26.3
Fort Kent,2018,1,"3,885",25.7
Waterville,2008,4,"15,777",25.4
Dover-Foxcroft,2018,1,"3,998",25.0
Lewiston,2008,9,"35,942",25.0
Wilton,2015,1,"4,007",25.0
Millinocket,2018,1,"4,038",24.8
Monmouth,2009,1,"4,046",24.7
Pittsfield,2016,1,"4,088",24.5
Arundel,2016,1,"4,110",24.3
Portland,2009,16,"65,829",24.3
Wilton,2010,1,"4,116",24.3
Millinocket,2015,1,"4,213",23.7
Pittsfield,2010,1,"4,215",23.7
Pittsfield,2008,1,"4,232",23.6
Millinocket,2013,1,"4,248",23.5
Skowhegan,2011,2,"8,501",23.5
South Portland,2014,6,"25,571",23.5
Skowhegan,2008,2,"8,581",23.3
Lyman,2009,1,"4,319",23.2
Old Orchard Beach,2010,2,"8,624",23.2
Old Orchard Beach,2012,2,"8,628",23.2
Skowhegan,2009,2,"8,637",23.2
Greene,2010,1,"4,350",23.0
Lyman,2010,1,"4,344",23.0
Old Orchard Beach,2016,2,"8,679",23.0
Old Orchard Beach,2009,2,"8,770",22.8
Lewiston,2010,8,"36,592",21.9
Raymond,2008,1,"4,568",21.9
Glenburn,2016,1,"4,644",21.5
Glenburn,2018,1,"4,644",21.5
Brewer,2013,2,"9,350",21.4
Brewer,2012,2,"9,406",21.3
Madison,2014,1,"4,696",21.3
Madison,2016,1,"4,718",21.2
Madison,2018,1,"4,718",21.2
Jay,2015,1,"4,733",21.1
Norway,2008,1,"4,758",21.0
Jay,2008,1,"4,836",20.7
Jay,2012,1,"4,834",20.7
Jay,2009,1,"4,865",20.6
Jay,2010,1,"4,851",20.6
Lisbon,2008,2,"9,769",20.5
Sabattus,2010,1,"4,876",20.5
Orono,2008,2,"9,947",20.1
Lincoln,2016,1,"5,029",19.9
Lincoln,2017,1,"5,029",19.9
Orono,2013,2,"10,129",19.7
Lincoln,2013,1,"5,095",19.6
Waterville,2015,3,"15,296",19.6
Paris,2009,1,"5,123",19.5
Paris,2011,1,"5,123",19.5
Paris,2016,1,"5,137",19.5
Lewiston,2011,7,"36,330",19.3
Orono,2012,2,"10,357",19.3
Bridgton,2008,1,"5,215",19.2
Bridgton,2010,1,"5,210",19.2
Lincoln,2008,1,"5,227",19.1
Bridgton,2009,1,"5,251",19.0
Biddeford,2015,4,"21,880",18.3
Rumford,2016,1,"5,508",18.2
Rumford,2017,1,"5,508",18.2
Hermon,2013,1,"5,525",18.1
Hermon,2012,1,"5,553",18.0
Rumford,2015,1,"5,603",17.8
Hermon,2015,1,"5,689",17.6
Rumford,2013,1,"5,678",17.6
Rumford,2012,1,"5,725",17.5
Turner,2010,1,"5,734",17.4
Lebanon,2008,1,"5,809",17.2
Rumford,2010,1,"5,841",17.1
Lewiston,2015,6,"36,238",16.6
Rumford,2008,1,"6,192",16.1
Bangor,2014,5,"32,594",15.3
Belfast,2008,1,"6,653",15.0
Fairfield,2013,1,"6,674",15.0
Fairfield,2008,1,"6,764",14.8
Ellsworth,2009,1,"7,503",13.3
Farmington,2014,1,"7,519",13.3
Farmington,2011,1,"7,662",13.1
Farmington,2012,1,"7,655",13.1
Farmington,2013,1,"7,654",13.1
Old Town,2008,1,"7,647",13.1
Old Town,2018,1,"7,608",13.1
Caribou,2016,1,"7,684",13.0
Old Town,2013,1,"7,716",13.0
Ellsworth,2010,1,"7,741",12.9
Old Town,2010,1,"7,840",12.8
Winslow,2010,1,"7,794",12.8
Bangor,2010,4,"33,039",12.1
South Portland,2010,3,"25,002",12.0
Skowhegan,2012,1,"8,489",11.8
Old Orchard Beach,2011,1,"8,648",11.6
Skowhegan,2010,1,"8,589",11.6
South Portland,2018,3,"26,288",11.4
Lisbon,2010,1,"9,009",11.1
Lisbon,2009,1,"9,148",10.9
Presque Isle,2017,1,"9,167",10.9
Presque Isle,2018,1,"9,167",10.9
Brewer,2011,1,"9,413",10.6
Topsham,2008,1,"9,854",10.1
Orono,2010,1,"10,362",9.7
Bangor,2012,2,"32,686",6.1
Bangor,2008,1,"31,650",3.2
Bangor,2011,1,"32,772",3.1
West Bath,2016,6-10,"1,852",*
Woolwich,2012,6-10,"3,088",*
Woolwich,2013,6-10,"3,069",*
Abbot,2017,<6,704,*
Addison,2015,<6,"1,253",*
Addison,2018,<6,"1,236",*
Alexander,2016,<6,472,*
Alna,2008,<6,670,*
Alna,2010,<6,709,*
Alna,2011,<6,711,*
Alna,2012,<6,708,*
Alna,2013,<6,708,*
Alna,2015,<6,711,*
Alna,2016,<6,716,*
Alna,2017,<6,716,*
Alna,2018,<6,716,*
Appleton,2010,<6,"1,316",*
Appleton,2011,<6,"1,318",*
Appleton,2012,<6,"1,328",*
Appleton,2014,<6,"1,345",*
Appleton,2015,<6,"1,355",*
Appleton,2016,<6,"1,359",*
Appleton,2017,<6,"1,359",*
Arrowsic,2008,<6,491,*
Arrowsic,2009,<6,450,*
Arrowsic,2010,<6,427,*
Arrowsic,2011,<6,421,*
Arrowsic,2012,<6,424,*
Arrowsic,2013,<6,428,*
Arrowsic,2014,<6,426,*
Arrowsic,2015,<6,423,*
Arrowsic,2016,<6,425,*
Arrowsic,2017,<6,425,*
Arrowsic,2018,<6,425,*
Ashland,2014,<6,"1,257",*
Athens,2013,<6,"1,014",*
Athens,2017,<6,"1,011",*
Athens,2018,<6,"1,011",*
Aurora,2013,<6,116,*
Baldwin,2008,<6,"1,422",*
Baldwin,2010,<6,"1,525",*
Baldwin,2011,<6,"1,521",*
Baldwin,2012,<6,"1,520",*
Baldwin,2013,<6,"1,543",*
Baldwin,2014,<6,"1,561",*
Baldwin,2015,<6,"1,567",*
Baldwin,2016,<6,"1,590",*
Baldwin,2017,<6,"1,590",*
Belmont,2010,<6,942,*
Belmont,2011,<6,936,*
Belmont,2013,<6,944,*
Belmont,2014,<6,947,*
Belmont,2015,<6,929,*
Belmont,2017,<6,953,*
Belmont,2018,<6,953,*
Bingham,2013,<6,903,*
Bingham,2017,<6,862,*
Bradford,2018,<6,"1,325",*
Bradley,2014,<6,"1,495",*
Bradley,2015,<6,"1,483",*
Bradley,2017,<6,"1,473",*
Bradley,2018,<6,"1,473",*
Bremen,2008,<6,798,*
Bremen,2012,<6,789,*
Bremen,2013,<6,786,*
Bremen,2014,<6,791,*
Bremen,2015,<6,784,*
Bremen,2016,<6,787,*
Bremen,2017,<6,787,*
Bremen,2018,<6,787,*
Brooklin,2011,<6,837,*
Brooklin,2013,<6,832,*
Brooklin,2014,<6,830,*
Brooklin,2015,<6,827,*
Brooklin,2017,<6,823,*
Brooks,2008,<6,"1,086",*
Brooks,2010,<6,"1,078",*
Brooks,2012,<6,"1,106",*
Brooks,2014,<6,"1,116",*
Brooks,2015,<6,"1,110",*
Brooks,2017,<6,"1,093",*
Brooks,2018,<6,"1,093",*
Brooksville,2011,<6,947,*
Brooksville,2013,<6,928,*
Brooksville,2014,<6,927,*
Brooksville,2015,<6,924,*
Brooksville,2016,<6,916,*
Brooksville,2017,<6,916,*
Brooksville,2018,<6,916,*
Brownfield,2008,<6,"1,423",*
Brownfield,2010,<6,"1,597",*
Brownfield,2011,<6,"1,608",*
Brownfield,2012,<6,"1,607",*
Brownfield,2013,<6,"1,604",*
Brownfield,2014,<6,"1,597",*
Brownfield,2016,<6,"1,648",*
Brownfield,2017,<6,"1,648",*
Brownfield,2018,<6,"1,648",*
Brownville,2017,<6,"1,178",*
Buckfield,2008,<6,"1,900",*
Burlington,2012,<6,373,*
Burnham,2013,<6,"1,174",*
Burnham,2015,<6,"1,188",*
Burnham,2016,<6,"1,186",*
Burnham,2017,<6,"1,186",*
Burnham,2018,<6,"1,186",*
Cambridge,2016,<6,437,*
Canton,2009,<6,"1,049",*
Canton,2015,<6,928,*
Canton,2017,<6,917,*
Canton,2018,<6,917,*
Carrabassett Valley,2013,<6,779,*
Carrabassett Valley,2014,<6,791,*
Carrabassett Valley,2018,<6,782,*
Carthage,2018,<6,551,*
Castine,2008,<6,"1,444",*
Castine,2009,<6,"1,388",*
Castine,2011,<6,"1,376",*
Castine,2012,<6,"1,364",*
Castine,2013,<6,"1,366",*
Castine,2014,<6,"1,365",*
Charleston,2018,<6,"1,432",*
Chebeague Island,2008,<6,363,*
Chebeague Island,2009,<6,353,*
Chebeague Island,2011,<6,348,*
Chebeague Island,2012,<6,346,*
Chebeague Island,2013,<6,345,*
Chebeague Island,2015,<6,347,*
Chebeague Island,2016,<6,351,*
Chebeague Island,2017,<6,351,*
Chebeague Island,2018,<6,351,*
Cherryfield,2013,<6,"1,193",*
Cherryfield,2015,<6,"1,187",*
Cherryfield,2017,<6,"1,172",*
Cherryfield,2018,<6,"1,172",*
Chesterville,2010,<6,"1,352",*
Chesterville,2014,<6,"1,321",*
Chesterville,2017,<6,"1,327",*
Clifton,2016,<6,926,*
Clifton,2017,<6,926,*
Clifton,2018,<6,926,*
Columbia Falls,2011,<6,563,*
Columbia Falls,2013,<6,555,*
Columbia Falls,2014,<6,552,*
Cornish,2008,<6,"1,394",*
Cornish,2009,<6,"1,385",*
Cornish,2010,<6,"1,403",*
Cornish,2011,<6,"1,419",*
Cornish,2012,<6,"1,424",*
Cornish,2013,<6,"1,428",*
Cornish,2015,<6,"1,427",*
Cornish,2016,<6,"1,434",*
Cornish,2017,<6,"1,434",*
Cornish,2018,<6,"1,434",*
Cornville,2016,<6,"1,310",*
Cornville,2017,<6,"1,310",*
Crystal,2017,<6,252,*
Cushing,2008,<6,"1,270",*
Cushing,2009,<6,"1,412",*
Cushing,2010,<6,"1,534",*
Cushing,2011,<6,"1,552",*
Cushing,2013,<6,"1,525",*
Cushing,2014,<6,"1,535",*
Cushing,2015,<6,"1,552",*
Cushing,2016,<6,"1,558",*
Cushing,2017,<6,"1,558",*
Cushing,2018,<6,"1,558",*
Cutler,2014,<6,503,*
Cutler,2016,<6,493,*
Damariscotta,2008,<6,"1,960",*
Dayton,2010,<6,"1,965",*
Dayton,2011,<6,"1,974",*
Dayton,2012,<6,"1,993",*
Dayton,2013,<6,"2,011",*
Dedham,2010,<6,"1,681",*
Dedham,2011,<6,"1,681",*
Dedham,2013,<6,"1,712",*
Dedham,2014,<6,"1,713",*
Dedham,2016,<6,"1,717",*
Dedham,2017,<6,"1,717",*
Dedham,2018,<6,"1,717",*
Deer Isle,2009,<6,"1,955",*
Deer Isle,2011,<6,"1,994",*
Denmark,2008,<6,"1,103",*
Denmark,2009,<6,"1,141",*
Denmark,2011,<6,"1,156",*
Denmark,2012,<6,"1,151",*
Denmark,2013,<6,"1,148",*
Denmark,2014,<6,"1,147",*
Denmark,2015,<6,"1,160",*
Denmark,2017,<6,"1,160",*
Detroit,2013,<6,853,*
Detroit,2016,<6,834,*
Detroit,2017,<6,834,*
Detroit,2018,<6,834,*
Dixmont,2011,<6,"1,167",*
Dixmont,2013,<6,"1,172",*
Dixmont,2014,<6,"1,174",*
Dixmont,2015,<6,"1,159",*
Dixmont,2016,<6,"1,164",*
Dixmont,2017,<6,"1,164",*
Dixmont,2018,<6,"1,164",*
Dresden,2009,<6,"1,690",*
Dresden,2010,<6,"1,672",*
Dresden,2012,<6,"1,681",*
Dresden,2014,<6,"1,674",*
Dresden,2015,<6,"1,675",*
Dresden,2016,<6,"1,657",*
Dresden,2017,<6,"1,657",*
Dresden,2018,<6,"1,657",*
East Machias,2009,<6,"1,296",*
East Machias,2011,<6,"1,362",*
East Machias,2012,<6,"1,360",*
East Machias,2013,<6,"1,356",*
East Machias,2014,<6,"1,404",*
East Machias,2016,<6,"1,329",*
East Machias,2017,<6,"1,329",*
East Machias,2018,<6,"1,329",*
East Millinocket,2010,<6,"1,723",*
East Millinocket,2011,<6,"1,723",*
East Millinocket,2017,<6,"1,648",*
Eastport,2017,<6,"1,222",*
Edgecomb,2008,<6,"1,160",*
Edgecomb,2009,<6,"1,213",*
Edgecomb,2010,<6,"1,249",*
Edgecomb,2011,<6,"1,240",*
Edgecomb,2012,<6,"1,239",*
Edgecomb,2013,<6,"1,236",*
Edgecomb,2014,<6,"1,249",*
Edgecomb,2015,<6,"1,244",*
Edgecomb,2016,<6,"1,248",*
Edgecomb,2017,<6,"1,248",*
Edgecomb,2018,<6,"1,248",*
Embden,2011,<6,949,*
Embden,2016,<6,886,*
Embden,2017,<6,886,*
Embden,2018,<6,886,*
Enfield,2018,<6,"1,515",*
Etna,2008,<6,"1,031",*
Etna,2016,<6,"1,261",*
Etna,2017,<6,"1,261",*
Etna,2018,<6,"1,261",*
Eustis,2013,<6,618,*
Eustis,2017,<6,616,*
Exeter,2014,<6,"1,085",*
Exeter,2017,<6,"1,071",*
Exeter,2018,<6,"1,071",*
Fairfield,2012,<6,"6,701",*
Fairfield,2014,<6,"6,599",*
Fayette,2009,<6,"1,149",*
Fayette,2011,<6,"1,139",*
Fayette,2013,<6,"1,135",*
Fayette,2016,<6,"1,108",*
Fayette,2017,<6,"1,108",*
Fayette,2018,<6,"1,108",*
Frankfort,2010,<6,"1,124",*
Frankfort,2014,<6,"1,132",*
Frankfort,2015,<6,"1,219",*
Franklin,2009,<6,"1,485",*
Franklin,2011,<6,"1,496",*
Franklin,2014,<6,"1,502",*
Franklin,2016,<6,"1,495",*
Franklin,2018,<6,"1,495",*
Freedom,2009,<6,706,*
Freedom,2011,<6,728,*
Freedom,2013,<6,714,*
Freedom,2016,<6,721,*
Freedom,2017,<6,721,*
Freedom,2018,<6,721,*
Frenchboro,2009,<6,57,*
Frenchville,2014,<6,"1,024",*
Friendship,2012,<6,"1,155",*
Friendship,2013,<6,"1,142",*
Friendship,2014,<6,"1,140",*
Friendship,2015,<6,"1,152",*
Friendship,2016,<6,"1,155",*
Friendship,2017,<6,"1,155",*
Friendship,2018,<6,"1,155",*
Garland,2011,<6,"1,105",*
Garland,2016,<6,"1,063",*
Garland,2017,<6,"1,063",*
Garland,2018,<6,"1,063",*
Georgetown,2008,<6,"1,063",*
Georgetown,2009,<6,"1,042",*
Georgetown,2010,<6,"1,042",*
Georgetown,2012,<6,"1,043",*
Georgetown,2013,<6,"1,035",*
Georgetown,2014,<6,"1,028",*
Georgetown,2018,<6,"1,023",*
Gouldsboro,2009,<6,"1,866",*
Gouldsboro,2011,<6,"1,750",*
Gouldsboro,2013,<6,"1,752",*
Gouldsboro,2014,<6,"1,760",*
Gouldsboro,2015,<6,"1,727",*
Gouldsboro,2016,<6,"1,734",*
Gouldsboro,2017,<6,"1,734",*
Gouldsboro,2018,<6,"1,734",*
Greenbush,2015,<6,"1,520",*
Greenbush,2016,<6,"1,516",*
Greenbush,2017,<6,"1,516",*
Greenville,2016,<6,"1,560",*
Greenwood,2010,<6,830,*
Greenwood,2016,<6,847,*
Guilford,2017,<6,"1,460",*
Hanover,2009,<6,270,*
Harmony,2011,<6,927,*
Harmony,2013,<6,914,*
Harmony,2014,<6,892,*
Harmony,2017,<6,879,*
Harrington,2011,<6,"1,009",*
Harrington,2016,<6,975,*
Harrington,2017,<6,975,*
Hartford,2008,<6,"1,048",*
Hartford,2009,<6,"1,138",*
Hartford,2012,<6,"1,192",*
Hartford,2014,<6,"1,199",*
Hartford,2015,<6,"1,195",*
Hartford,2017,<6,"1,202",*
Hartford,2018,<6,"1,202",*
Hartland,2014,<6,"1,739",*
Hartland,2015,<6,"1,744",*
Hartland,2017,<6,"1,734",*
Hartland,2018,<6,"1,734",*
Hebron,2008,<6,"1,093",*
Hebron,2013,<6,"1,425",*
Hebron,2015,<6,"1,415",*
Hebron,2016,<6,"1,442",*
Hebron,2017,<6,"1,442",*
Hebron,2018,<6,"1,442",*
Hiram,2008,<6,"1,592",*
Hiram,2009,<6,"1,625",*
Hiram,2011,<6,"1,627",*
Hiram,2012,<6,"1,621",*
Hiram,2013,<6,"1,614",*
Hiram,2014,<6,"1,608",*
Hiram,2015,<6,"1,630",*
Hiram,2016,<6,"1,636",*
Hiram,2017,<6,"1,636",*
Hiram,2018,<6,"1,636",*
Hodgdon,2017,<6,"1,291",*
Hope,2008,<6,"1,428",*
Hope,2009,<6,"1,478",*
Hope,2010,<6,"1,536",*
Hope,2011,<6,"1,540",*
Hope,2012,<6,"1,577",*
Hope,2013,<6,"1,605",*
Hope,2015,<6,"1,574",*
Hope,2017,<6,"1,580",*
Houlton,2014,<6,"5,849",*
Howland,2016,<6,"1,201",*
Howland,2018,<6,"1,201",*
Hudson,2013,<6,"1,594",*
Hudson,2014,<6,"1,562",*
Hudson,2018,<6,"1,552",*
Industry,2012,<6,934,*
Industry,2017,<6,911,*
Isle au Haut,2010,<6,73,*
Isle au Haut,2016,<6,74,*
Isle au Haut,2018,<6,74,*
Islesboro,2009,<6,604,*
Islesboro,2010,<6,566,*
Islesboro,2011,<6,563,*
Islesboro,2015,<6,539,*
Jackman,2013,<6,854,*
Jackman,2018,<6,843,*
Jackson,2012,<6,554,*
Jackson,2014,<6,563,*
Jackson,2015,<6,567,*
Jackson,2018,<6,570,*
Jay,2014,<6,"4,788",*
Jay,2016,<6,"4,735",*
Jonesport,2016,<6,"1,357",*
Kenduskeag,2008,<6,"1,260",*
Kenduskeag,2011,<6,"1,370",*
Kenduskeag,2013,<6,"1,392",*
Kenduskeag,2016,<6,"1,353",*
Kingfield,2010,<6,997,*
Kingfield,2015,<6,988,*
Kingfield,2017,<6,987,*
Knox,2010,<6,806,*
Knox,2011,<6,829,*
Knox,2013,<6,829,*
Knox,2016,<6,867,*
Knox,2017,<6,867,*
Knox,2018,<6,867,*
Lagrange,2012,<6,718,*
Lamoine,2010,<6,"1,602",*
Lamoine,2011,<6,"1,624",*
Lamoine,2013,<6,"1,638",*
Lamoine,2014,<6,"1,643",*
Lamoine,2016,<6,"1,606",*
Lamoine,2018,<6,"1,606",*
Liberty,2008,<6,927,*
Liberty,2012,<6,920,*
Liberty,2014,<6,924,*
Liberty,2015,<6,930,*
Liberty,2016,<6,930,*
Liberty,2017,<6,930,*
Liberty,2018,<6,930,*
Long Island,2008,<6,193,*
Long Island,2009,<6,216,*
Long Island,2011,<6,232,*
Long Island,2012,<6,231,*
Long Island,2013,<6,229,*
Long Island,2015,<6,226,*
Long Island,2016,<6,229,*
Long Island,2017,<6,229,*
Long Island,2018,<6,229,*
Lovell,2010,<6,"1,140",*
Lovell,2013,<6,"1,117",*
Lovell,2014,<6,"1,107",*
Lovell,2017,<6,"1,104",*
Machias,2014,<6,"2,131",*
Machias,2016,<6,"2,069",*
Machiasport,2012,<6,"1,119",*
Machiasport,2013,<6,"1,105",*
Machiasport,2014,<6,"1,122",*
Machiasport,2015,<6,"1,093",*
Machiasport,2017,<6,"1,106",*
Machiasport,2018,<6,"1,106",*
Mariaville,2009,<6,520,*
Mariaville,2015,<6,531,*
Marshfield,2011,<6,512,*
Marshfield,2012,<6,514,*
Marshfield,2013,<6,521,*
Marshfield,2016,<6,514,*
Marshfield,2017,<6,514,*
Marshfield,2018,<6,514,*
Matinicus Isle Plt,2013,<6,72,*
Mattawamkeag,2010,<6,687,*
Mechanic Falls,2009,<6,"3,127",*
Mechanic Falls,2014,<6,"3,040",*
Mechanic Falls,2016,<6,"3,038",*
Meddybemps,2017,<6,141,*
Medway,2011,<6,"1,356",*
Medway,2017,<6,"1,294",*
Mercer,2014,<6,655,*
Mercer,2015,<6,660,*
Mercer,2017,<6,661,*
Mercer,2018,<6,661,*
Milbridge,2012,<6,"1,325",*
Milbridge,2014,<6,"1,286",*
Milbridge,2015,<6,"1,312",*
Milbridge,2017,<6,"1,287",*
Milton Twp,2018,<6,148,*
Minot,2012,<6,"2,619",*
Minot,2013,<6,"2,627",*
Minot,2015,<6,"2,631",*
Monhegan Island Plt,2011,<6,69,*
Monhegan Island Plt,2017,<6,74,*
Monroe,2012,<6,899,*
Monroe,2013,<6,894,*
Monroe,2015,<6,900,*
Monroe,2016,<6,899,*
Monroe,2017,<6,899,*
Monroe,2018,<6,899,*
Montville,2008,<6,964,*
Montville,2009,<6,"1,007",*
Montville,2011,<6,"1,051",*
Montville,2012,<6,"1,044",*
Montville,2013,<6,"1,049",*
Montville,2014,<6,"1,057",*
Montville,2015,<6,"1,065",*
Montville,2016,<6,"1,068",*
Montville,2018,<6,"1,068",*
Morrill,2011,<6,890,*
Morrill,2013,<6,903,*
Morrill,2014,<6,903,*
Morrill,2015,<6,887,*
Morrill,2016,<6,915,*
Morrill,2017,<6,915,*
Morrill,2018,<6,915,*
Mount Vernon,2008,<6,"1,636",*
Mount Vernon,2009,<6,"1,643",*
Mount Vernon,2011,<6,"1,652",*
Mount Vernon,2012,<6,"1,656",*
Mount Vernon,2013,<6,"1,655",*
Mount Vernon,2014,<6,"1,646",*
Mount Vernon,2016,<6,"1,645",*
Mount Vernon,2017,<6,"1,645",*
New Portland,2012,<6,737,*
New Portland,2013,<6,723,*
New Portland,2015,<6,726,*
New Portland,2016,<6,732,*
New Portland,2017,<6,732,*
New Sharon,2009,<6,"1,435",*
New Sharon,2010,<6,"1,407",*
New Sharon,2011,<6,"1,424",*
New Sharon,2015,<6,"1,405",*
New Sharon,2017,<6,"1,415",*
New Sharon,2018,<6,"1,415",*
New Vineyard,2018,<6,758,*
Newburgh,2013,<6,"1,564",*
Newburgh,2014,<6,"1,554",*
Newburgh,2015,<6,"1,548",*
Newburgh,2016,<6,"1,578",*
Newburgh,2017,<6,"1,578",*
Newburgh,2018,<6,"1,578",*
Newcastle,2008,<6,"1,942",*
Newcastle,2010,<6,"1,752",*
Newcastle,2012,<6,"1,718",*
Newcastle,2013,<6,"1,704",*
Newcastle,2014,<6,"1,706",*
Newcastle,2015,<6,"1,690",*
Newfield,2008,<6,"1,558",*
Newfield,2009,<6,"1,522",*
Newfield,2010,<6,"1,522",*
Newfield,2012,<6,"1,557",*
Newfield,2013,<6,"1,576",*
Newfield,2014,<6,"1,588",*
Newfield,2015,<6,"1,582",*
Newfield,2017,<6,"1,589",*
Newfield,2018,<6,"1,589",*
Newry,2008,<6,367,*
Nobleboro,2009,<6,"1,664",*
Nobleboro,2010,<6,"1,643",*
Nobleboro,2011,<6,"1,655",*
Nobleboro,2014,<6,"1,658",*
Nobleboro,2015,<6,"1,662",*
Nobleboro,2016,<6,"1,685",*
Nobleboro,2017,<6,"1,685",*
Nobleboro,2018,<6,"1,685",*
North Haven,2011,<6,359,*
North Haven,2012,<6,359,*
North Haven,2016,<6,369,*
North Haven,2018,<6,369,*
Northport,2009,<6,"1,521",*
Northport,2012,<6,"1,516",*
Northport,2013,<6,"1,523",*
Northport,2014,<6,"1,528",*
Northport,2015,<6,"1,503",*
Northport,2016,<6,"1,545",*
Northport,2018,<6,"1,545",*
Ogunquit,2008,<6,"1,208",*
Ogunquit,2012,<6,877,*
Ogunquit,2013,<6,867,*
Ogunquit,2014,<6,862,*
Ogunquit,2016,<6,848,*
Ogunquit,2017,<6,848,*
Ogunquit,2018,<6,848,*
Old Orchard Beach,2013,<6,"8,634",*
Orneville Twp,2018,<6,249,*
Otis,2009,<6,645,*
Otis,2012,<6,684,*
Otis,2017,<6,681,*
Otisfield,2008,<6,"1,688",*
Otisfield,2009,<6,"1,754",*
Otisfield,2010,<6,"1,770",*
Otisfield,2011,<6,"1,783",*
Otisfield,2013,<6,"1,763",*
Otisfield,2014,<6,"1,764",*
Otisfield,2015,<6,"1,758",*
Otisfield,2016,<6,"1,771",*
Otisfield,2017,<6,"1,771",*
Otisfield,2018,<6,"1,771",*
Owls Head,2008,<6,"1,635",*
Owls Head,2009,<6,"1,591",*
Owls Head,2010,<6,"1,580",*
Owls Head,2012,<6,"1,563",*
Owls Head,2013,<6,"1,545",*
Owls Head,2014,<6,"1,543",*
Owls Head,2015,<6,"1,552",*
Owls Head,2018,<6,"1,552",*
Palermo,2008,<6,"1,300",*
Palermo,2013,<6,"1,549",*
Palermo,2015,<6,"1,552",*
Palermo,2016,<6,"1,536",*
Palermo,2017,<6,"1,536",*
Palermo,2018,<6,"1,536",*
Palmyra,2011,<6,"1,987",*
Palmyra,2012,<6,"1,977",*
Palmyra,2018,<6,"1,946",*
Parkman,2017,<6,854,*
Parkman,2018,<6,854,*
Parsonsfield,2011,<6,"1,916",*
Parsonsfield,2012,<6,"1,929",*
Parsonsfield,2015,<6,"1,951",*
Parsonsfield,2016,<6,"1,952",*
Parsonsfield,2017,<6,"1,952",*
Patten,2017,<6,957,*
Pembroke,2011,<6,834,*
Penobscot,2008,<6,"1,341",*
Penobscot,2009,<6,"1,309",*
Penobscot,2011,<6,"1,254",*
Penobscot,2012,<6,"1,259",*
Penobscot,2013,<6,"1,259",*
Penobscot,2014,<6,"1,244",*
Peru,2009,<6,"1,573",*
Peru,2012,<6,"1,544",*
Peru,2015,<6,"1,546",*
Peru,2018,<6,"1,543",*
Phillips,2009,<6,"1,045",*
Phillips,2010,<6,"1,028",*
Phillips,2011,<6,"1,034",*
Phillips,2013,<6,"1,012",*
Phillips,2018,<6,"1,013",*
Plymouth,2016,<6,"1,393",*
Plymouth,2017,<6,"1,393",*
Porter,2008,<6,"1,496",*
Porter,2011,<6,"1,503",*
Porter,2013,<6,"1,512",*
Porter,2015,<6,"1,530",*
Porter,2016,<6,"1,525",*
Porter,2017,<6,"1,525",*
Porter,2018,<6,"1,525",*
Pownal,2008,<6,"1,668",*
Pownal,2010,<6,"1,474",*
Pownal,2011,<6,"1,469",*
Pownal,2012,<6,"1,475",*
Pownal,2015,<6,"1,512",*
Pownal,2017,<6,"1,531",*
Princeton,2016,<6,819,*
Princeton,2018,<6,819,*
Prospect,2013,<6,717,*
Prospect,2014,<6,711,*
Prospect,2016,<6,725,*
Prospect,2018,<6,725,*
Randolph,2008,<6,"1,963",*
Randolph,2011,<6,"1,760",*
Newfield,2014,<6,"1,588",*
Newfield,2015,<6,"1,582",*
Newfield,2017,<6,"1,589",*
Newfield,2018,<6,"1,589",*
Newry,2008,<6,367,*
Nobleboro,2009,<6,"1,664",*
Nobleboro,2010,<6,"1,643",*
Nobleboro,2011,<6,"1,655",*
Nobleboro,2014,<6,"1,658",*
Nobleboro,2015,<6,"1,662",*
Nobleboro,2016,<6,"1,685",*
Nobleboro,2017,<6,"1,685",*
